id,title,description,image,category,price,quantity
"1","Kroket 1 pcs.","Dutch Delicacy","https://moniquevandervloed.nl/wp-content/uploads/2017/05/kroket1.jpg","Snack","300","400"
"2","Bitterballen 10 pcs.","Dutch Delicacy","https://annateresa.nl/wp-content/uploads/2014/02/bitterval.jpg","Snack","500","500"
"3","Fanta 330ml ","Cold carbonated beverage","https://cdn.discordapp.com/attachments/695211677179969620/695211773678190702/fanta.jpg","Drink","250","400"
"4","Coca Cola 330ml","Cold carbonated beverage","https://cdn.discordapp.com/attachments/695211677179969620/695212316337242124/cola.jpg","Drink","250","400"
"5","Chaudfontaine Still 500ml","Mineral water","https://cdn.discordapp.com/attachments/695211677179969620/695213306272677918/chaudfontaine1.jpg","Drink","200","400"
"6","Orange Juice 200ml","Cold glass of orange juice","https://pngimage.net/wp-content/uploads/2018/06/orange-juice-glass-png-3.png","Drink","150","400"
"7","Club Sandwiches","Club Sandwiches with a side of fries","https://cdn.discordapp.com/attachments/695211677179969620/695218468156473354/sandwiches.jpg","Bread","650","300"
"8","Fruitsalad","Consists of strawberries, kiwi, bananas and grapes","https://www.pngarts.com/files/2/Fruit-Salad-PNG-Transparent-Image.png","Salad","300","300"
"9","Breakfast Menu","Pancakes with syrup and Orange Juice","https://cdn.discordapp.com/attachments/695211677179969620/695218853105500200/pancakes.jpg","Breakfast","550","400"
"10","Lunch Menu","Barbecue Chicken with potatoes and brocolli ","https://cdn.discordapp.com/attachments/695211677179969620/695216018070569001/lunchbox.jpg","Lunch","650","250"
"11","Internet","Internet Access for a single device","https://cdn.discordapp.com/attachments/695211677179969620/699527285560180736/wifi.jpg","","1000","5000"
